grid_id,経度,緯度,市役所からの距離_m,DEM地表種別,標高_m,最近接河川,河川からの距離_m,内水浸水ランク,内水想定浸水深,外水浸水ランク_num,外水想定浸水深,最大ランク河川
3982,132.4654523,34.3904474,1097.7,地表面,1.14,京橋川,386.0,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3983,132.4654387,34.3908979,1123.6,地表面,0.94,京橋川,382.2,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3984,132.4654251,34.3913483,1151.1,地表面,1.04,京橋川,380.0,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3985,132.4654115,34.3917988,1180.0,地表面,1.24,京橋川,379.6,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3986,132.4653979,34.3922493,1210.4,地表面,1.24,京橋川,381.9,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3987,132.4653843,34.3926998,1242.0,地表面,1.34,京橋川,385.6,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3988,132.4653707,34.3931502,1274.8,地表面,1.44,京橋川,394.8,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3989,132.4653572,34.3936007,1308.6,地表面,1.54,京橋川,405.1,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3990,132.4653436,34.3940512,1343.5,地表面,1.34,京橋川,415.1,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3991,132.46533,34.3945017,1379.3,地表面,1.64,京橋川,425.0,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3992,132.4653164,34.3949521,1416.0,地表面,1.04,京橋川,437.3,03,0.50～0.99m,4,5.0～10.0m未満,元安川・太田川・旧太田川
3993,132.4653028,34.3954026,1453.4,地表面,1.54,京橋川,450.0,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3994,132.4652892,34.3958531,1491.6,地表面,1.24,京橋川,462.7,02,0.20～0.49m,4,5.0～10.0m未満,太田川・旧太田川
3995,132.4652756,34.3963036,1530.5,地表面,1.94,京橋川,475.3,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3996,132.465262,34.396754,1570.0,地表面,1.64,京橋川,488.0,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3997,132.4652484,34.3972045,1610.1,地表面,1.74,京橋川,500.7,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3998,132.4652348,34.397655,1650.8,地表面,1.54,京橋川,479.9,02,0.20～0.49m,4,5.0～10.0m未満,元安川・太田川・旧太田川
3999,132.4652213,34.3981055,1691.9,地表面,2.24,京橋川,444.8,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
4000,132.4652077,34.3985559,1733.5,地表面,2.14,京橋川,409.7,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
